text,is_correct,word_count,has_date
Delpire died in Paris on 26 September 2017 in Paris at the age of 91 .,True,16,True
"Harris died on 9 May 2019 , at the age of 93 .",True,13,True
"Long died on January 15 , 2017 , at the age of 63 .",True,14,True
Matos died on 8 June 2019 .,True,7,True
"Pazos died on 24 May 2019 , at the age of 89 .",True,13,True
"English died on November 16 , 2018 in London at the age of 81 .",True,15,True
Earth is very old .,True,5,False
Lamarck died in Paris in 1829 .,True,7,True
The team 's colors are red and white .,True,9,False
He died on 26 September 2017 in Paris at the age of 91 .,True,14,True
"He died on October 2 , 2005 in New York City , U.S.",True,13,True
"She died on June 9 , 2014 , at the age of 103 .",True,14,True
"Stubing died on 3 July 2017 in Rome , age 76 .",True,12,True
"She died on 12 February 2019 , at the age of 79 .",True,13,True
Pius V died on 1 May 1572 .,True,8,True
"He died on 3 May 2015 , aged 84 , after a long illness .",True,15,True
"He died on 6 January 2015 , aged 82 .",True,10,True
"Burns died on 25 May 2019 , at the age of 99 .",True,13,True
He died on 18 October 2017 .,True,7,True
He died on 4 August 2018 .,True,7,True
He has many works .,True,5,False
"Bopp died on January 6 , 2018 at the age of 68 .",True,13,True
He died on 12 May 2019 at the age of 80 .,True,12,True
He died on 9 May 2019 at the age of 93 .,True,12,True
Rooth died in Sweden on 27 February 1972 .,True,9,True
"Moody died in hospital on 11 June 2015 , aged 91 .",True,12,True
"Winters died on 23 April 2019 , at the age of 80 .",True,13,True
"The DVD was released on October 10 , 2006 .",True,10,True
Wass died on 4 January 2017 in London at the age of 93 .,True,14,True
Wass died on 4 January 2017 at the age of 93 .,True,12,True
"Ryman died on February 8 , 2019 , at the age of 88 .",True,14,True
Alsop died on 12 May 2018 at the age of 70 .,True,12,True
"Thomas died on April 30 , 2016 , at the age of 91 .",True,14,True
"He died , aged 80 , on 22 July 2014 .",True,11,True
"He died , aged 80 on 23 July , 2014 .",True,11,True
Beutel died on 8 May 2019 aged 72 .,True,9,True
"Ballet died on January 2 , 2017 , at the age of 88 .",True,14,True
Ballet died on 2 January 2017 at the age of 88 .,True,12,True
Treacher died in April 2018 at the age of 93 .,True,11,True
Treacher died on 30 April 2018 at the age of 93 .,True,12,True
"Trass died on 14 February 2017 , at the age of 88 .",True,13,True
There are various reasons as to why children do not attend school in Japan .,False,15,False
Australia has often made special 50 - cent coins .,True,10,False
The area was settled in 972 .,False,7,False
The museum also has a small Asian collection .,False,9,False
Fathers and sons who have been featured on the cover,False,10,False
"Caps and goals updated as of June 29 , 2019 .",False,11,True
There have been a number of .,True,7,False
"He was part of the American basketball team , which won the gold medal .",False,15,False
In 1870 the river flooded .,False,6,True
The history of traditional sports is ancient .,False,8,False
It was released as two -part movie on 8 May and 9 May 1980 .,True,15,True
The town has four doctors and one pharmacy .,False,9,False
The main trains used on the line is Class 375 Electrostars .,True,12,False
Rise Up takes place every year from December 28 to January 1 .,False,13,False
"Originally , it was practiced in religion .",False,8,False
"Silenti was struck by a car on 31 October 2014 in Rome , Italy .",False,15,True
Theaters is the number of theaters in which the movie is being shown .,False,14,False
"It begins 4,750 years before the Gregorian calendar .",False,9,False
Bangladesh played their first test match on 10 November 2000 .,False,11,True
"The film was released on VHS in 1989 , and on DVD in 2004 .",False,15,True
Teams begin training camps in September .,False,7,False
He was a candidate for President of Ireland in the October 2011 election .,False,14,True
His first discovery was the asteroid 267 Tirza in 1887 .,False,11,True
The city is divided into two parts by the river Ebro .,False,12,False
There are many different kinds of intelligence tests that use many methods .,False,13,False
The song was released in November 2013 .,True,8,True
The game has now spread around the cricket world .,False,10,False
Their first world tour took place in October 1998 .,True,10,True
It is often used on soil .,True,7,False
Most stars are between 1 billion and 10 billion years old .,False,12,False
The experiment began late July 2009 .,False,7,True
"MacNeil died after a short-illness , aged 86 .",False,9,False
The first settlements date from 1500 BC .,False,8,True
Skis for women must be at least 200 cm long .,False,11,False
There are differences between the two sets of dates .,False,10,False
JRL will start opening in 3 phases from 2026 to 2028 .,False,12,True
Bears do not have good hearing .,False,7,False
"There are about 150 plant species on the island , along with 80 types of insects .",False,17,False
Dotrice died on 16 October 2017 in London at the age of 94 .,False,14,True
"In the United States , each state has its own laws .",False,12,False
The state is divided into three divisions .,False,8,False
Bridges longer than 100m .,True,5,False
"As of 20 , 2019 .",True,6,True
Three men are running along the riverside .,False,8,False
"Sica died of a heart attack in Rome on 5 December 2014 , aged 65 .",False,16,True
"As the 19th century moved on , the city began to grow .",False,13,False
India won the war .,True,5,False
"Lake died in London on 7 December 2016 , at the age of 69 , after suffering from cancer .",False,20,True
"Varda died of cancer on 29 March 2019 in Paris , at the age of 90 .",False,17,True
The other giant panda has dark brown and light brown fur .,False,12,False
"Wistrich died of a heart attack on May 19 , 2015 in Rome , Italy .",False,16,True
Clocks use different ways to measure time .,False,8,False
The name became popular in culture .,False,7,False
There is a guest house on the hill behind the main house .,True,13,False
"Skirton died on 11 or 12 May 2019 , at the age of 80 .",False,15,True
The group also had success in the United States .,False,10,False
The album was a success in the United States .,False,10,False
"In the United States , the game is played by a group of people .",False,15,False
The group had many changes .,True,6,False
"It was active for 55 years , until 1938 .",False,10,True
"He is married to since 1990 , has four children .",False,11,True
He was one of the world 's best swimmers in the 1920s .,False,13,True
Yeoh died of a heart attack on 18 October 2017 at the age of 87 .,False,16,True
"He has made over 90 movies , most of them were documentaries .",True,13,False
He has edited and written many books and articles .,False,10,False
The red kangaroo is a very large kangaroo .,False,9,False
"On 5 August 2018 , Barry died after a long battle with bone cancer , aged 73 .",False,18,True
There are different views about his early life .,False,9,False
The floorball section was started in 1991 ..,False,8,True
He died in Paris .,True,5,False
O' Connell died on 28 June 2017 at the age of 94 .,False,13,True
These are the newest types of exams .,False,8,False
She was elected President in October 2007 .,False,8,True
"Skofterud was killed in a jet skiing accident on 29 July 2018 in Arendal , Norway , aged 38 .",False,20,True
There was also a version played on television .,False,9,False
was first shown in 2001 .,True,6,True
Corals can be found all over the island .,False,9,False
Title V includes various other extra rules .,False,8,False
"The book has been published every year since 1868 , except between 1876 and 1885 .",False,16,True
The stone circle was set up between 2900 and 2600 BC .,False,12,True
Hovey died on 6 January 2015 at the age of 82 .,True,12,True
The forest contains at least 900 plant species .,False,9,False
"Peoples died on 4 August 2018 , aged 70 .",False,10,True
From 1975 a new thing is starting .,True,8,True
It was built in 1909 .,True,6,True
The first stone church was built in during the 12th century .,True,12,False
The town holds several festivals a year .,True,8,False
The town holds a festival in May .,False,8,False
The club also played floorball during the 1980s .,False,9,True
"In 2002 , there were nearly 1500 students in the school .",True,12,True
"The movie was released on October 15 , 2010 .",False,10,True
"Although he was one of the leading players of his time , not much is known about his life .",False,20,False
"Elders died after a long illness on 3 May 2015 , aged 84 .",False,14,True
Winners are listed first .,True,5,False
They feed on insects and fruit .,False,7,False
The bridge is 2109 m long .,True,7,True
"Ditko died at his New York City apartment from a heart attack on June 29 , 2018 at the age of 90 .",False,23,True
Following people were members .,True,5,False
Reynolds was a Professor of English for 44 years .,False,10,False
Germans started arriving in 1828 .,True,6,True
"In addition , he was worried about the Ruhr .",False,10,False
The ball is made of plastic .,False,7,False
"According to Statistics Canada , the county has a total area of 2004.44 km2 .",False,15,True
"It showed that 5,308,483 people were living in the United States .",False,12,False
A small number of missing person cases are not solved for many years .,False,14,False
"Flower died on 2 October 2014 , after a brief illness .",False,12,True
